날짜,경북_합계,경북_종합소매,경북_ 백화점,경북_ 대형마트/유통전문점,경북_ 슈퍼마켓,경북_ 편의점,경북_ 면세점,경북_전자상거래/통신판매,경북_식료품,경북_ 일반식료품,경북_ 건강보조식품,경북_의류/잡화,경북_ 의복/직물,경북_ 복식잡화,경북_ 시계/귀금속/안경,경북_ 화장품,경북_연료,경북_가구/가전,경북_ 가구,경북_ 가전제품/정보통신기기,경북_의료/보건,경북_ 종합병원,경북_ 일반병의원/기타의료기관,경북_자동차,경북_ 국산자동차신품,경북_ 기타운송수단,경북_ 자동차 부품 및 정비,경북_여행/교통,경북_ 여행사/자동차임대,경북_ 항공사,경북_ 대중교통,경북_오락/문화,경북_ 스포츠/오락/여가,경북_ 서적/문구,경북_교육,경북_숙박/음식,경북_ 숙박,경북_ 음식점,경북_공과금/개인 및 전문 서비스,경북_금융/보험,경북_기타
2012/11,8264.79,1397.05,190.15,773.93,383.64,49.33,0.0,8.83,228.73,207.11,21.62,515.56,353.55,33.46,53.07,75.48,2527.36,263.29,27.6,235.69,487.06,123.85,363.22,279.56,0.3,17.0,262.25,3.48,2.98,0.0,0.5,636.03,590.69,45.34,227.98,1190.73,76.89,1113.84,139.68,0.18,359.26
2012/12,8113.56,1508.28,192.87,863.39,403.6,48.42,0.0,9.78,233.88,218.66,15.22,507.32,338.95,35.09,55.09,78.19,2435.38,208.26,23.01,185.25,464.53,119.42,345.12,302.51,0.37,13.87,288.27,3.18,2.6,0.0,0.58,504.1,451.48,52.61,185.4,1248.87,77.72,1171.15,140.76,0.19,361.11
2013/01,7848.5,1420.91,145.6,814.91,412.97,47.42,0.0,11.19,259.33,242.4,16.93,431.28,274.97,25.98,58.38,71.95,2412.05,184.48,23.8,160.68,540.57,135.33,405.24,272.76,0.43,13.77,258.56,3.33,2.62,0.0,0.71,409.07,358.8,50.27,208.11,1219.64,83.24,1136.4,148.33,0.13,327.31
2013/02,7254.54,1421.87,130.94,844.1,401.62,45.22,0.0,13.59,283.24,261.88,21.36,388.1,239.36,22.86,54.27,71.62,2228.13,180.63,22.49,158.14,463.3,117.78,345.53,230.5,0.31,13.68,216.5,3.04,2.38,0.0,0.66,380.57,338.86,41.71,199.49,1029.89,61.52,968.37,131.14,0.04,301.01
2013/03,8128.51,1359.14,138.96,766.79,401.39,51.99,0.0,10.69,249.45,232.28,17.17,475.33,294.82,32.48,70.84,77.2,2442.27,241.72,31.39,210.34,514.06,129.96,384.11,278.61,0.62,21.64,256.35,4.12,3.22,0.0,0.91,598.17,502.29,95.89,194.87,1252.61,77.05,1175.56,155.7,0.05,351.72
2013/04,8031.43,1443.1,161.85,806.42,421.46,53.37,0.0,9.34,241.51,224.93,16.58,468.27,296.61,31.06,68.28,72.32,2353.93,216.21,29.81,186.4,501.78,128.79,372.99,267.41,0.29,20.64,246.48,4.12,3.05,0.0,1.06,575.81,514.05,61.76,177.97,1268.09,82.34,1185.75,150.57,0.06,353.27
2013/05,8529.85,1586.35,156.17,907.9,464.03,58.25,0.0,9.88,261.11,240.57,20.54,559.14,367.88,36.09,74.47,80.7,2333.52,255.13,31.23,223.9,513.58,132.65,380.93,303.28,0.46,21.8,281.01,5.17,3.97,0.0,1.2,626.66,581.61,45.05,179.89,1354.61,82.44,1272.17,159.84,0.06,381.63
2013/06,7898.87,1477.96,123.39,841.22,457.21,56.14,0.0,8.64,230.3,213.88,16.42,449.36,276.7,32.66,68.86,71.13,2218.62,247.73,30.36,217.37,486.45,130.13,356.32,299.77,0.32,20.78,278.67,4.41,3.16,0.0,1.25,551.42,510.71,40.71,179.8,1233.47,76.53,1156.94,149.11,0.02,361.81
2013/07,8609.47,1697.42,127.34,1005.59,498.61,65.88,0.0,11.46,246.01,229.28,16.73,439.3,261.99,31.07,73.28,72.97,2374.35,323.37,29.53,293.85,515.41,139.0,376.41,319.15,0.3,21.61,297.23,4.59,3.51,0.0,1.08,549.36,499.78,49.57,185.26,1402.95,93.74,1309.21,166.29,0.05,374.51
2013/08,8679.06,1620.99,100.04,941.98,513.29,65.69,0.0,15.81,277.23,261.28,15.95,350.66,188.33,23.96,69.33,69.04,2505.87,283.96,29.05,254.9,515.76,136.1,379.67,312.25,0.32,19.83,292.1,6.1,4.84,0.0,1.26,516.54,470.17,46.38,211.85,1528.58,129.85,1398.73,177.18,0.05,356.22
2013/09,8203.55,1700.98,147.83,987.98,501.73,63.43,0.0,9.94,341.79,311.48,30.31,444.63,285.84,29.34,59.72,69.73,2306.18,189.81,32.42,157.39,460.11,118.76,341.35,269.24,0.48,16.47,252.3,4.19,3.07,0.0,1.12,550.19,499.18,51.01,169.89,1252.55,74.93,1177.63,148.57,0.07,355.4
2013/10,8258.25,1432.0,162.66,776.67,430.77,61.89,0.0,9.92,259.05,227.7,31.35,502.62,334.75,32.02,61.33,74.51,2357.1,214.32,33.26,181.05,531.61,130.74,400.87,304.83,0.45,19.99,284.39,4.82,3.6,0.0,1.22,639.35,596.31,43.04,181.69,1299.14,86.8,1212.35,157.21,0.1,364.49
2013/11,8283.52,1446.76,180.7,794.48,414.31,57.27,0.0,9.11,252.43,232.59,19.84,529.21,370.92,31.39,55.3,71.6,2377.57,260.6,29.03,231.57,505.66,128.51,377.15,305.92,0.54,16.0,289.38,4.36,3.23,0.0,1.13,645.02,601.4,43.62,187.09,1242.65,84.63,1158.01,151.42,0.09,365.66
2013/12,8514.3,1556.48,181.84,886.24,430.0,58.4,0.0,11.2,275.3,259.9,15.4,530.42,356.71,34.21,61.63,77.87,2426.8,223.87,30.2,193.67,519.48,134.9,384.58,308.49,0.41,15.46,292.62,3.72,2.62,0.0,1.1,562.09,510.97,51.13,184.36,1382.06,84.39,1297.67,161.49,0.12,368.43
2014/01,7989.66,1512.48,137.09,872.53,451.38,51.49,0.0,13.69,362.54,338.74,23.8,432.81,275.01,23.93,61.31,72.55,2309.74,193.32,29.5,163.82,529.77,131.76,398.0,270.98,0.4,13.3,257.29,4.08,3.06,0.0,1.01,422.72,376.64,46.07,193.25,1248.29,81.0,1167.29,162.01,0.05,333.92
2014/02,7168.23,1371.16,170.65,762.74,382.34,51.31,4.12,107.37,232.05,217.64,14.41,371.68,230.2,20.35,55.37,65.76,2025.02,192.9,29.03,163.87,495.68,128.42,367.26,243.21,20.25,16.8,206.15,14.48,5.0,3.59,5.9,362.23,317.21,45.02,200.23,1064.87,68.23,996.64,171.25,26.46,289.62
2014/03,8063.77,1436.2,143.21,810.34,425.46,57.19,0.0,11.96,265.11,249.49,15.62,460.25,292.69,28.13,69.08,70.35,2277.06,239.47,38.15,201.32,525.67,132.59,393.08,279.47,0.36,20.56,258.55,4.38,2.85,0.0,1.53,579.67,481.46,98.2,189.64,1282.66,72.46,1210.2,165.85,0.07,346.3
2014/04,7873.43,1393.05,147.88,764.87,420.71,58.91,0.69,46.54,240.88,225.56,15.32,477.53,310.86,28.13,66.65,71.89,2160.25,197.25,33.84,163.41,521.39,134.05,387.34,288.09,3.11,20.82,264.16,9.57,3.91,1.21,4.44,531.25,482.74,48.5,177.92,1253.29,77.86,1175.42,165.05,10.9,400.46
2014/05,8530.32,1553.34,146.79,867.44,474.32,64.79,0.0,10.98,290.67,270.83,19.84,528.47,346.79,30.33,74.4,76.96,2270.78,247.22,35.48,211.75,509.92,130.62,379.3,311.03,0.37,24.37,286.29,5.36,3.61,0.0,1.75,591.54,546.76,44.78,180.35,1443.62,89.25,1354.37,171.31,0.06,415.68
2014/06,8076.31,1548.72,123.04,874.31,484.52,66.85,0.0,10.58,256.55,241.69,14.85,443.38,276.82,28.66,70.27,67.62,2133.75,264.88,37.12,227.76,487.04,125.69,361.35,293.6,0.33,22.0,271.28,5.37,3.52,0.0,1.84,538.79,499.15,39.64,177.08,1353.49,77.9,1275.59,164.12,0.14,398.83
2014/07,8414.72,1577.87,113.63,908.15,485.11,70.98,0.0,13.21,254.23,238.76,15.47,438.83,262.33,28.09,76.95,71.46,2227.21,297.83,36.06,261.77,545.13,143.46,401.67,321.95,0.41,22.96,298.57,5.76,3.89,0.0,1.87,525.44,475.59,49.85,198.17,1420.21,85.08,1335.13,179.61,0.12,409.16
2014/08,8601.69,1579.49,95.38,905.89,506.17,72.05,0.0,17.21,321.31,301.18,20.13,374.45,202.0,23.58,73.62,75.24,2289.57,232.3,38.91,193.39,548.28,139.23,409.06,306.53,0.22,20.84,285.48,6.81,4.79,0.0,2.02,492.09,444.57,47.51,219.85,1622.75,131.11,1491.64,185.02,0.09,405.93
2014/09,8139.15,1637.14,140.53,929.05,491.18,76.38,0.0,11.02,345.79,318.76,27.03,444.77,285.94,26.69,63.93,68.21,2136.27,210.4,35.88,174.53,491.09,123.52,367.57,284.34,0.4,20.76,263.18,5.39,3.57,0.0,1.82,542.18,489.97,52.21,183.24,1303.48,79.04,1224.44,156.97,0.05,387.01
2014/10,8242.29,1421.8,150.47,774.25,424.71,70.94,1.43,40.54,274.39,244.07,30.32,503.42,339.28,28.65,59.95,75.54,2136.84,233.61,41.12,192.49,556.19,130.95,425.25,309.87,10.14,19.16,280.57,13.21,4.82,2.32,6.07,561.7,519.4,42.3,181.73,1368.93,90.64,1278.29,176.22,15.02,448.84
2014/11,8167.05,1434.83,161.39,790.85,416.24,66.35,0.0,10.18,271.5,250.05,21.45,510.45,352.1,28.32,57.83,72.21,2132.29,279.4,39.38,240.02,538.71,133.68,405.03,305.76,0.23,17.6,287.94,5.2,3.33,0.0,1.87,587.18,542.59,44.59,190.24,1325.86,79.35,1246.52,163.28,0.14,412.02
2014/12,8796.5,1703.59,266.76,913.18,446.26,72.97,4.42,131.97,292.75,276.3,16.45,532.41,359.01,30.74,64.21,78.45,2118.11,243.93,36.38,207.56,559.02,145.78,413.24,358.96,33.49,15.09,310.37,18.64,6.23,3.9,8.51,526.71,468.13,58.57,204.53,1418.22,85.23,1332.99,208.68,31.21,447.77
2015/01,7667.75,1405.13,122.48,788.54,432.71,61.39,0.0,13.76,316.72,300.03,16.69,406.49,249.63,21.8,65.75,69.31,1851.57,194.7,35.67,159.03,593.53,146.11,447.43,272.47,0.22,14.39,257.86,5.03,3.56,0.0,1.47,408.84,361.91,46.93,213.02,1417.71,90.68,1327.04,177.59,0.06,391.12
2015/02,7276.78,1555.29,122.59,906.25,459.92,66.53,0.0,14.22,378.98,352.75,26.23,382.71,228.39,20.28,61.13,72.91,1663.14,201.58,36.95,164.64,507.36,127.85,379.52,239.41,0.13,15.66,223.62,4.08,2.77,0.0,1.31,380.97,340.88,40.09,202.14,1220.6,70.24,1150.36,158.96,0.08,367.25
2015/03,8102.6,1478.7,136.03,820.06,444.31,78.31,0.0,12.77,276.4,259.22,17.18,479.15,296.27,28.57,78.89,75.42,1943.15,271.35,50.45,220.9,586.71,143.11,443.6,306.16,0.39,21.48,284.29,4.49,2.84,0.0,1.65,571.64,474.63,97.01,195.01,1371.23,74.25,1296.98,190.72,0.06,415.07
2015/04,7847.24,1479.14,133.76,796.12,460.68,88.58,0.0,11.84,269.57,253.31,16.26,468.47,293.66,27.8,73.05,73.96,1827.68,207.7,45.2,162.5,581.27,144.97,436.3,304.67,0.3,22.86,281.51,5.8,3.91,0.01,1.87,534.13,485.32,48.81,181.37,1390.95,83.68,1307.26,180.29,0.09,404.27
2015/05,8876.31,1727.71,144.63,946.29,535.79,101.01,0.0,11.29,332.25,312.67,19.58,558.14,353.53,31.77,90.51,82.33,1985.23,260.16,48.37,211.79,575.41,145.35,430.06,339.48,0.15,25.04,314.29,7.5,5.05,0.0,2.45,625.8,582.99,42.81,185.05,1627.81,97.0,1530.82,199.45,0.06,440.97
2015/06,7911.79,1623.58,115.59,871.89,531.36,104.75,0.0,11.3,274.69,256.0,18.69,425.54,249.73,27.17,74.23,74.4,1833.14,246.93,50.39,196.54,521.78,120.66,401.12,323.1,0.43,25.74,296.93,5.54,3.77,0.0,1.77,525.88,486.6,39.28,185.39,1350.12,67.35,1282.77,175.18,0.13,409.49
2015/07,8460.71,1689.08,110.04,930.04,535.76,113.23,0.0,14.08,280.3,264.1,16.2,435.03,249.88,26.01,77.7,81.45,1927.19,310.86,48.11,262.75,590.26,145.34,444.91,345.38,0.23,22.7,322.46,6.64,4.59,0.01,2.04,540.02,490.04,49.98,195.99,1519.54,86.5,1433.04,186.7,0.33,419.33
2015/08,8930.12,1875.19,132.25,1026.17,580.88,122.69,13.2,16.61,330.61,314.63,15.99,393.49,207.02,23.62,79.36,83.49,1976.47,300.67,47.4,253.27,585.69,146.38,439.31,328.04,0.2,22.27,305.58,7.97,5.02,0.03,2.92,537.79,491.57,46.22,221.96,1771.12,133.02,1638.1,182.76,0.3,401.44
2015/09,8487.24,1905.33,179.05,1042.76,562.73,120.43,0.36,11.23,417.5,383.76,33.74,468.77,298.23,26.48,65.91,78.15,1846.24,221.19,49.55,171.64,573.14,137.57,435.57,308.92,0.24,19.98,288.69,5.93,3.79,0.0,2.13,538.07,485.82,52.25,180.86,1423.64,76.73,1346.91,170.45,0.3,415.66
2015/10,8495.23,1646.49,223.59,833.67,468.94,120.28,0.0,11.88,299.0,268.81,30.19,521.61,339.36,29.64,70.08,82.53,1858.84,251.45,53.64,197.81,636.63,145.54,491.09,339.02,0.25,22.78,315.99,7.17,4.78,0.0,2.4,615.15,575.15,40.0,196.99,1505.59,98.77,1406.82,187.66,0.13,417.62
2015/11,8336.39,1695.27,231.58,876.46,471.81,115.42,0.0,11.0,289.97,269.59,20.38,520.29,354.58,28.93,61.91,74.87,1812.99,287.21,48.27,238.94,585.7,136.89,448.8,313.54,0.15,15.47,297.92,5.43,3.3,0.0,2.13,573.76,535.4,38.37,189.51,1471.53,91.14,1380.4,180.36,0.11,399.71
2015/12,8571.05,1702.47,214.68,891.27,481.34,115.19,0.0,11.73,316.3,299.15,17.15,526.65,339.64,29.67,69.95,87.39,1889.89,240.95,47.33,193.62,633.11,149.47,483.64,346.44,0.21,16.29,329.93,6.26,4.06,0.0,2.19,509.35,457.99,51.36,205.95,1556.31,90.13,1466.17,192.62,0.11,432.92
2016/01,8204.08,1659.96,174.21,878.66,499.36,107.73,0.0,13.31,356.24,337.03,19.21,440.71,262.56,22.97,71.37,83.81,1808.4,205.83,45.25,160.57,658.2,151.16,507.04,312.97,0.18,14.17,298.62,5.62,3.6,0.0,2.02,392.75,347.97,44.78,211.23,1542.47,93.82,1448.65,197.71,0.14,398.53
2016/02,7789.99,1769.12,174.68,976.6,509.35,108.49,0.0,16.97,381.85,356.82,25.03,403.59,239.81,21.27,66.67,75.84,1617.17,224.82,49.35,175.48,601.1,144.22,456.88,259.1,0.21,14.27,244.62,6.08,3.96,0.0,2.12,382.55,342.37,40.18,223.56,1356.32,75.25,1281.07,177.76,0.21,369.77
2016/03,8307.19,1657.67,174.22,865.4,494.33,123.71,0.0,13.36,289.96,271.59,18.37,468.2,285.02,27.33,77.98,77.87,1751.04,267.61,57.3,210.31,679.75,157.5,522.25,330.64,0.4,26.23,304.01,7.45,4.75,0.0,2.69,561.09,462.85,98.23,207.23,1460.31,78.22,1382.09,206.46,0.23,406.22
2016/04,8288.08,1684.55,186.93,854.69,515.9,127.03,0.0,11.92,291.65,272.83,18.83,492.24,308.15,29.03,76.66,78.4,1695.47,217.13,49.44,167.69,643.15,145.49,497.66,332.08,0.38,23.66,308.04,8.89,6.16,0.0,2.73,558.45,512.84,45.62,189.63,1536.33,91.38,1444.96,203.06,0.24,423.28
2016/05,9039.04,1864.25,158.6,975.01,586.29,144.35,0.0,13.87,337.2,312.88,24.32,560.36,360.77,33.55,86.63,79.41,1837.3,259.73,57.09,202.64,619.32,146.31,473.01,340.22,0.46,23.16,316.59,11.23,7.54,0.0,3.69,616.79,574.6,42.19,190.21,1737.3,99.53,1637.77,220.22,0.21,430.83
2016/06,8562.26,1739.71,123.94,898.6,571.15,146.01,0.0,12.17,291.67,272.54,19.13,487.69,299.23,30.77,78.64,79.05,1839.17,265.94,52.41,213.53,624.59,144.68,479.92,348.76,0.54,23.17,325.05,10.57,6.96,0.0,3.61,547.98,507.16,40.83,198.16,1589.15,92.73,1496.42,198.61,0.18,407.91
2016/07,8836.9,1792.34,116.38,936.43,590.19,149.34,0.0,13.56,291.43,273.22,18.2,442.47,256.8,29.93,78.66,77.09,1899.57,336.39,55.59,280.8,652.24,154.94,497.3,358.44,0.62,20.45,337.36,11.58,7.85,0.0,3.73,537.25,489.84,47.41,204.53,1687.72,99.2,1588.53,201.37,0.21,407.78
2016/08,9150.88,1922.49,109.11,1014.84,629.06,169.46,0.0,19.76,326.25,307.18,19.07,375.6,194.0,25.51,77.04,79.05,1936.86,315.64,51.81,263.82,639.06,152.05,487.01,344.52,0.46,19.6,324.46,11.86,7.81,0.0,4.05,519.27,473.27,46.0,243.21,1906.2,151.91,1754.29,198.34,0.2,391.61
2016/09,8449.98,1885.26,134.82,986.86,607.84,155.74,0.0,14.06,384.27,348.4,35.87,412.02,245.47,27.2,67.19,72.16,1794.88,229.32,52.94,176.37,603.58,141.78,461.79,320.24,0.23,18.16,301.85,9.02,6.44,0.0,2.58,506.41,457.62,48.79,197.53,1511.06,82.04,1429.01,187.64,0.32,394.37
2016/10,8805.77,1783.23,171.81,881.29,571.34,158.79,0.0,11.7,374.21,341.34,32.87,476.01,301.94,28.77,69.18,76.11,1880.34,241.16,56.83,184.32,665.32,148.16,517.16,347.98,0.73,21.26,325.98,8.4,6.22,0.0,2.19,603.96,562.7,41.26,199.8,1589.14,86.44,1502.7,206.35,0.46,417.72
2016/11,8707.67,1676.15,159.33,834.86,530.77,151.19,0.0,11.04,315.55,293.82,21.72,511.58,341.71,27.28,61.92,80.67,1973.59,250.28,48.96,201.33,662.95,150.37,512.58,353.48,0.38,17.01,336.09,7.82,5.57,0.0,2.25,608.05,567.8,40.26,211.52,1514.09,87.32,1426.77,201.69,0.51,409.37
2016/12,8978.92,1685.04,153.04,842.14,538.98,150.88,0.0,12.11,349.38,331.81,17.57,496.48,300.28,28.62,71.5,96.09,2090.78,217.73,46.1,171.62,735.24,165.41,569.83,369.15,0.48,18.94,349.73,8.37,6.08,0.0,2.29,515.01,464.52,50.49,214.29,1637.61,87.31,1550.31,212.0,0.5,435.23
2017/01,8909.7,1900.2,139.12,1016.4,598.71,145.96,0.0,14.4,486.11,458.87,27.25,427.65,255.45,22.26,67.37,82.58,2064.86,205.4,44.58,160.83,659.03,150.45,508.59,306.27,0.38,15.07,290.82,7.0,4.43,0.0,2.57,408.41,364.61,43.8,193.58,1617.1,87.2,1529.9,221.59,0.55,397.55
2017/02,7864.56,1447.81,116.57,732.89,466.05,132.3,0.0,16.42,299.62,285.55,14.07,389.18,214.2,21.07,72.2,81.71,1902.78,231.43,48.84,182.59,648.45,143.32,505.14,285.55,0.52,16.56,268.46,6.91,4.53,0.0,2.38,389.36,346.73,42.63,235.85,1437.71,79.0,1358.72,214.69,0.42,358.38
2017/03,9075.11,1703.61,133.93,858.04,553.6,158.04,0.0,17.48,340.71,324.16,16.55,466.8,273.84,27.82,83.27,81.87,2144.95,247.75,53.03,194.72,705.48,155.01,550.47,349.38,0.76,26.16,322.46,8.11,5.66,0.0,2.46,588.92,493.01,95.92,214.64,1608.56,79.66,1528.9,239.77,0.59,438.36
2017/04,8963.9,1697.73,132.46,839.34,565.54,160.39,0.0,11.66,329.96,312.31,17.66,484.04,293.18,28.47,83.41,78.98,2041.52,247.09,48.04,199.05,696.26,152.82,543.43,344.05,0.46,23.73,319.87,9.43,6.89,0.0,2.55,575.78,530.26,45.52,193.5,1663.96,95.42,1568.55,239.89,0.66,428.37
2017/05,9761.82,1962.75,151.07,987.7,634.99,188.99,0.0,14.43,379.42,358.32,21.1,528.98,327.77,31.21,89.39,80.61,2073.76,307.98,52.81,255.17,693.72,152.88,540.84,353.93,0.26,25.12,328.55,12.59,8.79,0.0,3.8,646.36,605.08,41.28,198.12,1892.04,111.16,1780.87,249.69,0.57,447.49
2017/06,8948.76,1791.22,109.37,892.67,602.69,186.44,0.05,13.25,315.67,299.31,16.36,452.28,256.07,28.74,85.97,81.5,1933.74,292.24,48.57,243.67,700.43,155.02,545.41,354.56,0.58,23.74,330.24,9.85,7.13,0.11,2.6,560.66,520.1,40.56,203.14,1658.74,84.23,1574.52,222.28,0.88,439.82
