서울_합계,서울_종합소매,서울_ 백화점,서울_ 대형마트/유통전문점,서울_ 슈퍼마켓,서울_ 편의점,서울_ 면세점,서울_전자상거래/통신판매,서울_식료품,서울_ 일반식료품,서울_ 건강보조식품,서울_의류/잡화,서울_ 의복/직물,서울_ 복식잡화,서울_ 시계/귀금속/안경,서울_ 화장품,서울_연료,서울_가구/가전,서울_ 가구,서울_ 가전제품/정보통신기기,서울_의료/보건,서울_ 종합병원,서울_ 일반병의원/기타의료기관,서울_자동차,서울_ 국산자동차신품,서울_ 기타운송수단,서울_ 자동차 부품 및 정비,서울_여행/교통,서울_ 여행사/자동차임대,서울_ 항공사,서울_ 대중교통,서울_오락/문화,서울_ 스포츠/오락/여가,서울_ 서적/문구,서울_교육,서울_숙박/음식,서울_ 숙박,서울_ 음식점,서울_공과금/개인 및 전문 서비스,서울_금융/보험,서울_기타
131882.45,16271.53,5114.34,6945.74,3124.94,660.4,426.12,27299.14,1013.02,789.99,223.03,4850.5,2911.7,350.44,440.91,1147.45,3145.31,3802.54,171.85,3630.69,8891.63,2539.44,6352.19,9197.02,7718.67,393.43,1084.92,4344.8,721.3,1913.62,1709.88,3313.65,1852.93,1460.72,2631.4,10392.36,820.76,9571.6,17465.05,10418.85,8845.65
138570.49,17501.51,5623.74,7439.08,3321.74,648.19,468.76,28013.71,1071.96,860.8,211.16,4733.35,2762.63,357.8,458.57,1154.35,3147.03,3511.55,166.22,3345.34,8152.91,2437.4,5715.51,10820.53,9312.76,386.01,1121.75,4739.82,975.44,2021.06,1743.31,3547.8,1948.03,1599.77,2862.63,11911.42,978.4,10933.01,18288.17,10343.59,9924.52
134351.73,15182.1,4290.1,6613.25,3213.01,630.0,435.73,26596.76,1078.96,847.8,231.16,3971.42,2163.52,270.92,469.14,1067.85,2975.1,4046.11,157.36,3888.75,9041.37,2744.27,6297.1,7116.97,6022.63,339.37,754.97,5007.53,1049.77,2211.7,1746.07,3346.39,1815.02,1531.37,2905.99,10426.09,853.04,9573.05,22639.76,10231.55,9785.63
119273.86,13979.67,3727.72,6344.25,2938.9,584.91,383.9,22864.68,1183.33,954.59,228.74,3733.86,2020.23,246.68,431.24,1035.71,2708.55,3852.64,156.22,3696.41,7839.83,2342.55,5497.28,7786.62,6814.72,311.75,660.14,4320.35,901.26,1878.7,1540.39,2900.55,1521.64,1378.92,2984.44,8836.38,684.09,8152.28,17885.92,9333.66,9063.38
129165.1,14518.77,4074.01,6387.08,3016.69,665.06,375.93,24857.51,1043.78,781.31,262.47,4363.0,2322.74,321.32,543.62,1175.33,3007.31,4602.13,210.86,4391.28,8455.38,2525.62,5929.76,9505.44,8308.96,425.02,771.45,4473.15,647.66,2212.92,1612.56,3560.35,1832.53,1727.82,3129.29,10320.86,671.66,9649.19,17852.88,10054.15,9421.1
130880.12,15328.37,4492.38,6612.02,3141.52,681.05,401.4,25967.3,1029.36,794.64,234.72,4295.64,2322.37,331.98,508.0,1133.28,2917.74,4398.59,196.87,4201.71,8087.61,2491.59,5596.02,9684.78,8527.02,419.64,738.12,4737.82,694.17,2291.94,1751.71,3278.19,1783.65,1494.54,2491.16,10264.07,688.83,9575.24,18600.62,10325.82,9473.06
134734.07,15650.5,4329.77,6897.63,3246.63,754.44,422.03,26735.11,1144.54,843.19,301.34,4772.2,2637.68,365.12,549.18,1220.22,2901.73,4944.07,179.96,4764.1,8376.92,2525.71,5851.21,10059.08,8741.08,494.1,823.9,5296.24,966.33,2492.75,1837.17,3332.27,1947.08,1385.19,2886.54,10744.51,741.67,10002.85,17900.66,10275.3,9714.41
124964.86,14642.96,3775.91,6486.59,3231.64,733.0,415.81,24131.56,1117.63,807.33,310.3,4328.67,2252.62,352.7,547.03,1176.32,2844.73,4875.52,174.99,4700.52,7846.29,2364.63,5481.66,8053.84,6744.94,498.25,810.64,4938.54,833.2,2430.85,1674.49,3063.19,1755.79,1307.4,2698.81,10083.92,640.5,9443.42,17909.97,9521.63,8907.61
139574.38,15678.72,3963.61,7075.45,3364.56,817.86,457.23,27427.97,1051.14,789.99,261.15,4070.02,2025.9,333.95,501.58,1208.59,3021.74,5321.34,175.85,5145.5,8365.57,2656.4,5709.17,8503.41,7135.92,522.37,845.13,6049.89,1453.64,2740.69,1855.56,3261.7,1772.78,1488.92,3140.66,10749.56,758.24,9991.33,22077.18,11093.07,9762.41
124442.3,14350.44,3396.74,6496.45,3261.74,796.88,398.62,23212.79,1052.87,803.03,249.84,3635.87,1729.53,283.34,518.67,1104.33,3170.34,4905.93,177.63,4728.3,8181.55,2510.36,5671.19,6997.26,5627.34,505.59,864.32,5073.05,1027.21,2175.81,1870.03,3122.61,1754.85,1367.76,3279.51,10561.17,795.86,9765.31,17780.0,9932.79,9186.15
124182.08,15961.69,4134.75,7050.84,3562.79,804.8,408.51,24303.94,1414.03,1130.73,283.3,4037.74,2155.76,303.94,447.41,1130.63,2880.98,4085.33,173.15,3912.18,7327.46,2169.92,5157.54,6532.65,5407.87,387.68,737.1,4573.63,970.15,1847.44,1756.04,2999.68,1657.78,1341.9,2584.89,9691.3,697.05,8994.25,17818.51,10050.53,9919.7
133579.17,16038.85,4517.46,7052.7,3266.47,821.11,381.12,26296.75,1098.55,838.55,260.0,4831.83,2713.95,366.5,475.57,1275.8,2888.49,4409.27,213.42,4195.85,8318.15,2495.55,5822.59,7940.24,6673.65,445.41,821.18,4829.26,820.81,2129.16,1879.29,3304.13,1909.76,1394.37,2612.63,10745.08,815.54,9929.54,19092.4,10996.46,10177.08
128461.96,15804.26,5012.79,6522.74,3201.91,748.57,318.25,27047.63,1101.0,856.9,244.1,4795.56,2828.97,352.53,448.01,1166.06,2857.54,4731.61,186.73,4544.88,8032.88,2448.48,5584.4,7257.48,5961.88,448.71,846.89,4632.28,679.71,2102.91,1849.67,3355.82,1905.27,1450.55,2613.62,10244.91,746.09,9498.81,16073.6,10136.45,9777.34
137684.76,17972.45,6168.9,7268.76,3371.13,784.0,379.66,28147.43,1152.55,916.46,236.08,4853.96,2792.15,368.88,471.34,1221.58,2913.01,4626.75,194.85,4431.9,8444.21,2544.95,5899.27,7879.82,6590.04,439.15,850.62,5259.39,979.86,2297.68,1981.86,3606.43,1987.03,1619.4,2944.8,12081.3,916.88,11164.42,16754.73,10965.26,10082.68
133427.27,15764.6,4606.17,6605.38,3496.35,693.62,363.08,25025.45,1465.86,1197.18,268.68,4028.25,2136.1,271.59,462.64,1157.92,2824.47,4275.47,173.37,4102.1,9131.01,2632.82,6498.18,8229.73,7087.59,371.08,771.06,5304.17,1084.32,2357.86,1861.99,3233.57,1758.24,1475.33,2944.54,10265.99,773.15,9492.84,21134.8,10049.97,9749.39
116024.69,13372.9,3816.58,5743.6,2810.62,683.12,318.99,22266.33,961.99,767.6,194.39,3703.06,1962.45,238.26,450.07,1052.28,2510.13,4058.92,184.61,3874.31,7959.32,2435.18,5524.14,7250.29,6228.8,365.28,656.21,4497.55,755.43,2096.73,1645.39,2851.0,1522.32,1328.68,3108.09,9119.38,709.44,8409.94,15957.01,9564.58,8844.14
130102.89,15801.99,4840.92,6592.03,3282.44,765.7,320.91,25099.24,1147.66,903.03,244.63,4466.54,2381.38,327.62,543.75,1213.78,2797.17,4964.13,242.86,4721.28,8345.3,2534.99,5810.31,8606.56,7315.7,497.89,792.98,5029.12,688.96,2501.89,1838.26,3497.53,1823.67,1673.86,3164.69,10862.52,682.53,10179.99,16037.26,10790.6,9492.58
127105.42,14282.09,4534.07,6089.1,2500.95,782.94,375.03,24336.51,1104.16,866.75,237.41,4346.78,2317.0,319.63,542.2,1167.95,2625.77,4435.99,211.68,4224.31,8037.63,2480.74,5556.89,9568.49,8283.39,494.56,790.55,5307.79,871.32,2488.38,1948.1,3117.57,1755.17,1362.4,2485.25,10264.87,710.91,9553.96,17156.17,10547.18,9489.15
128244.94,15053.81,4671.75,6635.78,2590.44,813.52,342.31,24366.92,1189.85,929.26,260.6,4578.24,2443.95,350.66,549.03,1234.6,2733.62,4797.63,222.24,4575.39,8144.53,2374.1,5770.43,9233.43,7943.31,466.61,823.51,5140.99,820.76,2351.11,1969.11,3200.24,1868.85,1331.38,2959.41,10815.76,737.84,10077.92,15928.47,10380.78,9721.26
127422.54,15003.88,4445.69,6611.59,2695.86,870.2,380.55,25107.86,1130.62,899.94,230.69,4218.56,2200.07,336.27,521.86,1160.36,2666.3,5088.65,209.22,4879.42,7711.15,2288.34,5422.81,9025.47,7741.98,492.12,791.37,5127.24,777.03,2439.11,1911.1,2942.59,1717.68,1224.9,2735.53,10562.33,696.4,9865.93,16209.06,10416.04,9477.26
142430.87,14839.04,4176.46,6680.55,2674.27,905.94,401.81,26674.46,1185.13,903.7,281.43,4224.33,2047.71,333.02,554.11,1289.49,2827.21,5469.84,224.59,5245.25,8841.59,2670.99,6170.6,10009.45,8565.39,538.55,905.51,6613.21,1355.43,2844.95,2412.82,3258.11,1811.36,1446.75,3360.98,11116.33,746.54,10369.8,21761.52,11585.81,10663.87
128459.38,14250.82,3833.4,6506.49,2692.15,860.91,357.87,24616.39,1245.68,971.53,274.15,3828.09,1791.04,287.96,550.71,1198.38,2804.16,4843.73,238.55,4605.18,8504.2,2439.85,6064.35,8356.53,6983.82,494.82,877.88,5758.31,1017.21,2162.86,2578.24,3183.04,1820.04,1363.0,3433.45,11107.69,817.29,10290.39,16061.24,10489.26,9976.8
128693.31,14989.75,4386.25,6684.86,2639.14,914.78,364.72,25466.18,1414.17,1154.69,259.48,3995.18,2050.76,294.95,476.91,1172.57,2578.48,4518.41,232.52,4285.89,7669.04,2175.05,5493.99,7496.57,6238.48,466.2,791.89,5220.05,895.34,2030.34,2294.37,3014.47,1665.31,1349.16,2862.41,10108.74,711.02,9397.72,18271.73,10827.21,10260.91
127710.61,14018.88,4248.28,6145.41,2441.57,857.83,325.79,25186.13,1185.7,945.81,239.89,4408.12,2535.32,329.97,463.53,1079.29,2596.57,4023.17,247.08,3776.08,7770.15,2259.43,5510.71,9042.8,7712.5,482.27,848.03,5170.54,765.25,2035.13,2370.15,3152.98,1836.72,1316.26,2604.91,10520.23,733.44,9786.79,18298.47,10490.35,9241.6
130991.89,14993.57,5096.72,6354.42,2441.23,822.63,278.57,27339.58,1203.83,969.68,234.16,4608.24,2653.98,330.92,447.8,1175.54,2462.17,5000.18,222.2,4777.98,8072.75,2342.76,5729.99,9351.47,8059.68,442.87,848.92,5153.76,718.35,2085.92,2349.49,3273.93,1805.97,1467.96,2677.49,10573.57,675.61,9897.96,16090.19,10279.55,9911.61
140515.55,16591.85,5839.07,6860.91,2610.35,925.75,355.76,28887.02,1248.44,1030.07,218.37,4582.84,2608.83,346.05,474.28,1153.69,2566.24,4793.14,222.42,4570.72,8196.75,2443.48,5753.27,11656.19,10259.08,483.29,913.82,5691.37,968.33,2231.71,2491.33,3417.44,1905.32,1512.12,2969.1,12197.0,963.99,11233.01,16315.19,11227.57,10175.42
138817.56,14031.73,4186.34,6161.41,2578.21,764.14,341.64,27551.7,1219.02,984.42,234.6,3910.89,1989.18,279.45,505.15,1137.12,2234.53,4571.46,208.03,4363.42,9216.6,2634.44,6582.16,8971.71,7730.08,445.78,795.85,6006.36,1127.59,2369.61,2509.17,3231.78,1747.04,1484.74,3075.18,10948.39,770.99,10177.4,22276.33,10912.78,10659.11
121083.75,13872.03,4003.26,6301.58,2502.26,750.88,314.04,24705.98,1436.61,1184.78,251.83,3618.19,1889.38,244.43,456.47,1027.91,2016.34,4199.5,205.63,3993.87,7747.05,2185.17,5561.88,7971.49,6889.19,384.29,698.01,5099.73,921.17,1990.6,2187.96,2762.09,1436.33,1325.76,2991.03,9305.32,672.32,8633.01,15671.91,10064.44,9622.05
136904.17,14780.17,4558.66,6396.97,2574.47,935.01,315.06,28501.1,1176.09,931.37,244.72,4408.8,2291.99,335.97,592.91,1187.92,2409.93,5146.17,265.62,4880.55,8768.35,2571.14,6197.21,9045.54,7627.55,555.87,862.12,5671.19,768.85,2606.22,2296.12,3550.69,1842.94,1707.75,3277.83,11157.65,755.29,10402.36,16231.63,11971.08,10807.94
135292.39,14666.04,4557.94,6118.5,2595.69,1001.39,392.52,27654.86,1171.1,933.97,237.13,4411.05,2301.95,322.77,617.04,1169.29,2196.42,4499.79,252.28,4247.51,8490.03,2504.56,5985.47,9435.6,8028.76,543.48,863.37,6086.72,975.99,2538.0,2572.73,3215.11,1785.51,1429.6,2555.95,10757.91,688.02,10069.89,18032.75,11659.38,10459.68
134654.8,15721.71,4733.73,6711.89,2815.47,1087.16,373.46,26700.89,1268.08,1021.14,246.95,4747.54,2517.53,371.16,642.52,1216.33,2336.73,4844.86,255.96,4588.9,8400.92,2370.91,6030.01,8145.25,6661.64,552.53,931.08,5884.96,887.2,2482.02,2515.75,3346.87,1989.89,1356.98,3071.72,11623.06,734.27,10888.8,17097.41,11151.56,10313.23
133407.8,15000.63,4060.18,6359.59,3041.05,1169.8,370.0,28647.14,1220.8,989.16,231.64,4087.99,2039.79,315.58,542.68,1189.94,2184.58,4974.2,241.22,4732.98,7062.18,1787.58,5274.6,8028.38,6589.97,560.26,878.14,5311.11,759.62,2297.17,2254.32,2950.63,1689.06,1261.57,2714.27,10401.26,639.04,9762.22,18665.92,12005.36,10153.36
147685.08,14731.65,3732.71,6389.74,2946.13,1202.65,460.41,29223.79,1167.85,932.27,235.58,4113.38,2004.61,318.94,602.86,1186.96,2324.01,6212.97,244.95,5968.02,8287.26,2185.42,6101.84,9065.7,7552.65,531.53,981.52,6790.6,1358.44,2805.15,2627.01,3359.33,1888.67,1470.66,3412.03,11294.07,656.99,10637.08,23720.66,12599.84,11381.96
133037.7,14848.07,3990.22,6343.86,2922.47,1197.32,394.2,26835.03,1119.9,906.65,213.25,3707.83,1772.35,282.46,577.73,1075.3,2316.71,6076.48,259.92,5816.57,8336.32,2320.06,6016.26,7353.61,5941.0,474.26,938.35,5742.58,957.62,2173.59,2611.38,3076.36,1799.99,1276.37,3421.69,11419.49,742.18,10677.31,17321.42,11192.2,10270.0
137386.48,15197.22,4101.44,6545.2,2980.34,1216.2,354.04,27803.54,1582.09,1307.67,274.42,3905.39,2013.92,281.21,517.08,1093.19,2120.48,5490.71,244.65,5246.06,7983.55,2196.31,5787.24,9409.28,8019.99,503.54,885.75,5612.56,922.66,2085.13,2604.77,2935.68,1681.73,1253.96,2758.35,10441.56,668.13,9773.43,19955.26,11177.03,11013.8
149128.98,15299.08,5153.34,5925.32,2593.9,1208.2,418.32,31434.96,1147.6,903.24,244.37,4517.98,2479.86,327.49,563.28,1147.34,2082.81,6084.92,290.59,5794.33,8834.84,2352.2,6482.64,10268.66,8799.8,516.51,952.35,6012.58,935.7,2356.69,2720.19,3274.44,1987.68,1286.76,2918.83,11045.68,732.84,10312.85,22226.22,12689.57,11290.82
141619.77,15986.18,5450.91,6288.58,2688.69,1148.49,409.51,31427.97,1160.91,949.35,211.56,4403.6,2556.24,322.4,475.37,1049.6,2081.14,5986.49,263.23,5723.25,8209.04,2278.51,5930.53,9066.78,7738.87,435.11,892.81,5682.97,779.84,2291.35,2611.78,3072.2,1834.67,1237.53,2700.88,11058.72,714.69,10344.03,18156.58,11838.71,10787.6
156423.05,16306.29,5386.9,6497.77,2755.02,1182.15,484.44,32772.43,1261.55,1016.81,244.74,4461.81,2425.74,346.43,536.65,1152.99,2193.09,6039.77,268.49,5771.28,9167.14,2502.46,6664.68,13350.61,11762.76,568.36,1019.48,6503.96,1132.72,2545.56,2825.68,3493.55,1970.77,1522.78,3130.21,12564.84,919.08,11645.77,20256.69,13061.71,11859.39
149587.29,14854.39,4228.8,6212.46,2914.3,1089.4,409.44,32750.63,1295.75,1057.64,238.11,3836.93,1929.47,261.14,562.81,1083.52,2205.75,5701.01,254.88,5446.13,9614.89,2556.25,7058.64,6502.04,5184.07,400.9,917.08,6511.78,1252.47,2690.2,2569.11,3158.86,1780.96,1377.9,3227.23,11246.65,755.32,10491.33,25126.41,11922.79,11632.18
132675.87,14450.22,4093.99,6160.74,2731.21,1046.17,418.11,29457.04,1367.18,1138.49,228.69,3512.76,1810.15,238.09,489.68,974.84,2045.58,5516.3,254.2,5262.11,8368.18,2240.07,6128.11,6871.63,5687.09,395.9,788.64,5682.84,898.66,2413.17,2371.0,2815.57,1549.21,1266.35,3126.95,9863.96,655.99,9207.98,17493.37,11298.43,10805.88
150313.15,15103.52,4436.33,6196.51,2852.8,1241.63,376.24,34024.46,1175.99,937.24,238.75,4195.41,2147.93,302.01,597.28,1148.2,2153.39,6262.4,284.75,5977.65,9410.89,2622.22,6788.68,8718.61,7184.71,592.65,941.24,6153.4,828.8,2844.01,2480.59,3495.84,1922.8,1573.04,3378.19,11306.94,700.96,10605.98,19593.1,13395.2,11945.81
146705.74,15079.43,4521.52,6012.71,2863.41,1237.95,443.84,32367.62,1166.87,919.9,246.98,4314.49,2266.46,306.47,632.97,1108.59,2003.05,5534.77,264.89,5269.88,8999.05,2441.84,6557.22,8099.51,6658.17,530.7,910.64,6231.42,872.12,2692.92,2666.39,3188.5,1895.05,1293.45,2695.89,11128.27,654.14,10474.13,21183.35,12276.43,12437.09
153068.95,16789.77,5151.42,6647.77,3129.54,1379.44,481.6,35683.06,1218.77,967.11,251.66,4607.84,2457.75,382.54,623.89,1143.66,2105.1,5011.92,322.19,4689.73,8808.26,2502.86,6305.4,8017.42,6590.24,493.1,934.08,6648.9,911.41,2967.37,2770.12,3313.98,2028.97,1285.0,3136.33,12108.23,738.28,11369.95,21553.93,12952.03,11113.42
153152.28,15347.33,4222.0,6140.44,3105.33,1404.75,474.81,35187.4,1178.71,945.65,233.07,4357.47,2269.4,367.29,592.58,1128.19,2079.98,5119.32,329.21,4790.11,8872.52,2508.39,6364.13,9238.22,7710.6,581.23,946.39,6930.65,1069.6,3142.64,2718.41,3198.63,1908.1,1290.54,3019.22,11610.83,698.3,10912.53,22661.55,13065.29,11285.14
165541.96,16129.14,4334.53,6648.34,3246.85,1426.33,473.08,37533.71,1162.9,929.6,233.3,4159.39,2018.25,360.99,615.59,1164.56,2194.51,5867.28,340.52,5526.76,9460.56,2618.46,6842.1,7356.67,5816.93,513.03,1026.7,7347.36,1504.42,3080.7,2762.24,3421.2,1952.57,1468.62,3552.61,12127.02,690.81,11436.21,29579.0,13360.26,12290.35
156147.68,16464.72,4464.05,6518.77,3425.47,1524.76,531.67,36966.89,1116.55,893.09,223.45,3720.31,1780.13,312.59,578.8,1048.79,2191.85,5859.17,354.87,5504.3,8974.26,2584.85,6389.42,6531.52,4922.39,558.49,1050.64,6809.6,1136.13,2597.0,3076.47,3217.4,1894.48,1322.93,3581.22,12181.29,818.11,11363.17,23257.39,13189.81,12085.7
155920.52,16101.93,4355.68,6372.6,3380.36,1459.54,533.75,36578.55,1507.21,1241.43,265.78,3835.82,1957.81,314.62,525.22,1038.17,1932.02,4890.55,330.79,4559.76,8548.49,2303.66,6244.83,7524.09,5990.86,579.91,953.32,6235.39,1078.59,2246.04,2910.76,3113.83,1787.28,1326.55,3138.29,10872.41,697.71,10174.71,25759.91,12879.48,13002.54
163098.4,17100.9,5363.41,6316.45,3431.9,1490.79,498.35,38858.14,1250.7,1026.35,224.35,4324.26,2402.75,322.78,548.33,1050.41,2005.87,5125.64,348.36,4777.28,9195.86,2427.74,6768.11,7774.44,5993.48,777.82,1003.14,6537.31,929.97,2526.29,3081.05,3354.96,2024.42,1330.54,3024.91,12137.89,729.41,11408.48,27068.64,13163.7,12175.17
161702.14,16823.67,5310.92,6199.09,3446.42,1396.3,470.95,40461.01,1234.29,1022.37,211.91,4358.84,2455.77,314.12,512.1,1076.85,2043.76,5005.0,280.12,4724.88,9132.41,2470.88,6661.54,7894.12,6274.92,620.98,998.22,6935.96,897.42,2858.45,3180.1,3366.73,1956.07,1410.66,2981.85,11584.96,752.78,10832.18,24277.9,13269.16,12332.49
175322.09,17168.07,5526.6,6245.38,3518.69,1412.24,465.17,41945.68,1334.38,1098.95,235.43,4272.34,2283.18,323.34,566.87,1098.95,2237.49,4687.86,280.14,4407.72,10242.9,2674.09,7568.81,12289.18,10455.94,712.54,1120.69,7768.53,1255.86,3071.48,3441.19,3585.21,2070.89,1514.32,3362.65,13213.14,887.47,12325.67,25164.54,13956.01,14094.09
167480.34,16910.72,4733.38,6645.02,3707.27,1321.88,503.17,38445.03,1676.26,1433.59,242.67,3617.78,1890.87,247.73,507.95,971.23,2314.69,4522.62,263.1,4259.53,9519.53,2514.62,7004.91,9941.26,8523.9,499.52,917.84,7914.3,1205.62,3433.85,3274.83,3176.41,1861.83,1314.58,3062.35,11737.81,763.4,10974.41,28869.22,12781.22,12991.14
156927.08,14248.32,4144.19,5295.44,3086.08,1232.25,490.36,37242.79,1046.29,836.57,209.72,3591.58,1810.71,234.26,571.63,974.98,2237.02,4847.1,296.47,4550.64,9518.82,2457.57,7061.25,9117.49,7676.54,527.67,913.28,7474.18,1100.22,3494.24,2879.73,3217.03,1894.3,1322.72,3586.09,11032.0,717.06,10314.94,24463.63,12676.32,12628.41
172598.44,16509.22,4710.95,6189.14,3614.72,1456.1,538.31,41319.99,1260.05,1009.16,250.88,4214.42,2158.36,307.53,665.99,1082.53,2444.44,5267.48,319.61,4947.87,10136.94,2649.37,7487.57,10941.66,9121.42,747.52,1072.71,7630.52,965.9,3564.41,3100.21,3779.23,2147.31,1631.91,3659.98,12289.66,693.34,11596.32,24415.94,14875.25,13853.67
167871.77,16063.28,4560.59,5887.72,3555.9,1435.34,623.73,38895.8,1251.63,1009.45,242.18,4263.5,2229.06,308.7,671.11,1054.64,2285.19,5282.89,277.38,5005.51,9879.67,2521.3,7358.38,9642.23,7941.47,660.9,1039.85,7423.84,1140.12,3054.38,3229.35,3456.92,2073.11,1383.81,2926.65,12015.06,676.83,11338.23,27663.69,13308.01,13513.42
172609.15,17875.72,5258.7,6628.65,3783.95,1597.68,606.75,41292.03,1289.26,1044.67,244.6,4369.87,2347.34,321.83,684.66,1016.03,2251.1,6128.11,281.67,5846.44,9498.46,2414.58,7083.88,9380.02,7766.67,603.43,1009.91,7440.37,990.89,3189.35,3260.14,3661.17,2366.21,1294.96,3319.33,12667.09,798.32,11868.78,25595.14,14873.39,12968.1
171606.7,16430.02,4415.96,6019.98,3745.4,1687.33,561.35,39522.53,1224.64,989.71,234.92,4167.44,2131.05,324.88,675.83,1035.68,2105.18,5394.94,260.03,5134.91,9760.83,2548.9,7211.93,10181.39,8327.9,774.11,1079.38,7756.56,1130.81,3357.86,3267.88,3521.3,2214.87,1306.44,3226.1,12136.57,660.54,11476.03,27859.33,14881.05,13438.83
