날짜,전북_합계,전북_종합소매,전북_ 백화점,전북_ 대형마트/유통전문점,전북_ 슈퍼마켓,전북_ 편의점,전북_ 면세점,전북_전자상거래/통신판매,전북_식료품,전북_ 일반식료품,전북_ 건강보조식품,전북_의류/잡화,전북_ 의복/직물,전북_ 복식잡화,전북_ 시계/귀금속/안경,전북_ 화장품,전북_연료,전북_가구/가전,전북_ 가구,전북_ 가전제품/정보통신기기,전북_의료/보건,전북_ 종합병원,전북_ 일반병의원/기타의료기관,전북_자동차,전북_ 국산자동차신품,전북_ 기타운송수단,전북_ 자동차 부품 및 정비,전북_여행/교통,전북_ 여행사/자동차임대,전북_ 항공사,전북_ 대중교통,전북_오락/문화,전북_ 스포츠/오락/여가,전북_ 서적/문구,전북_교육,전북_숙박/음식,전북_ 숙박,전북_ 음식점,전북_공과금/개인 및 전문 서비스,전북_금융/보험,전북_기타
2012/11,6230.83,1099.92,221.32,599.68,238.79,40.13,0.01,9.81,189.6,174.08,15.52,441.42,317.17,30.32,37.39,56.54,1449.83,220.95,22.89,198.07,556.03,142.83,413.21,219.3,3.4,11.43,204.47,63.95,4.54,56.84,2.57,454.52,415.87,38.66,175.29,896.83,44.62,852.21,154.02,0.81,298.54
2012/12,6300.67,1219.21,236.43,692.0,251.72,39.05,0.01,11.17,178.27,165.5,12.77,438.94,308.98,34.54,36.25,59.18,1391.59,183.64,22.11,161.54,545.92,135.41,410.52,241.67,1.33,10.08,230.26,56.68,3.94,50.6,2.14,420.22,373.2,47.01,155.26,1000.63,67.81,932.83,156.39,0.71,300.36
2013/01,5979.45,1090.54,171.5,620.2,260.26,38.57,0.01,9.86,184.55,169.84,14.7,330.15,213.88,21.44,39.38,55.45,1342.77,148.19,19.67,128.52,642.13,161.89,480.24,203.59,1.42,8.73,193.45,72.1,3.37,66.36,2.37,360.75,315.84,44.91,168.13,951.56,92.7,858.86,180.55,0.93,293.67
2013/02,5522.59,1085.01,151.41,641.63,255.88,36.07,0.02,10.01,219.06,198.49,20.57,306.4,200.51,18.03,36.56,51.29,1262.39,155.58,20.63,134.95,561.25,139.16,422.09,174.44,2.13,9.36,162.95,67.72,3.02,62.8,1.9,300.17,263.25,36.92,205.59,773.92,52.55,721.37,131.74,0.55,268.76
2013/03,6068.88,1051.54,171.54,589.39,250.02,40.57,0.01,10.63,176.0,161.02,14.98,384.73,251.09,27.72,46.32,59.6,1396.41,204.33,25.81,178.51,594.55,146.91,447.64,208.79,2.51,14.49,191.79,96.04,3.66,90.1,2.28,412.43,335.93,76.51,171.59,897.18,42.28,854.91,152.41,0.89,311.36
2013/04,5963.79,1098.65,183.57,611.66,261.79,41.62,0.01,10.46,182.41,168.13,14.27,372.02,242.26,27.42,45.85,56.49,1358.75,177.58,24.04,153.53,575.48,148.1,427.38,202.59,2.5,15.33,184.75,85.85,4.08,79.64,2.13,394.0,341.35,52.65,148.84,902.7,39.19,863.51,145.46,1.01,308.0
2013/05,6401.99,1193.02,178.88,672.42,295.48,46.23,0.02,10.78,206.95,188.16,18.79,449.62,303.15,33.48,50.7,62.3,1366.15,222.93,21.88,201.06,585.6,148.25,437.34,227.51,2.6,14.74,210.18,74.96,4.29,68.51,2.16,436.75,394.81,41.94,151.96,982.39,44.3,938.09,157.58,0.67,335.11
2013/06,5898.99,1112.61,145.86,614.88,307.13,44.73,0.01,9.26,177.23,163.87,13.36,355.76,226.44,31.21,43.93,54.18,1291.07,223.46,22.92,200.54,549.49,140.0,409.49,226.98,1.63,14.47,210.87,79.22,3.25,73.94,2.02,355.98,318.64,37.34,149.59,892.81,41.91,850.9,155.88,0.75,318.89
2013/07,6363.58,1255.01,158.61,721.09,325.94,49.35,0.01,10.98,185.88,170.28,15.6,338.67,205.4,28.21,47.2,57.86,1356.36,266.85,20.84,246.01,591.24,156.91,434.33,231.86,2.48,14.32,215.06,98.8,3.92,92.48,2.41,340.46,296.0,44.47,157.45,1010.21,55.43,954.79,173.94,0.73,345.14
2013/08,6375.91,1203.29,126.17,681.93,343.64,51.54,0.01,10.21,216.01,199.95,16.06,263.94,145.6,20.67,46.51,51.15,1456.86,239.86,21.94,217.92,588.81,149.05,439.77,233.63,1.37,14.96,217.3,84.31,4.24,77.5,2.58,297.5,256.67,40.83,213.06,1083.19,72.96,1010.23,153.54,0.48,331.22
2013/09,6188.77,1307.2,181.87,733.63,340.42,51.26,0.02,10.4,298.84,267.72,31.12,355.08,234.33,26.96,40.59,53.2,1357.31,162.24,22.99,139.25,519.71,126.96,392.74,210.04,2.39,14.95,192.71,62.08,3.1,56.76,2.22,362.23,317.91,44.32,158.04,898.99,41.39,857.6,150.07,0.66,335.88
2013/10,6246.93,1085.35,186.78,570.92,277.39,50.25,0.02,10.35,202.72,184.65,18.06,422.34,289.72,30.28,43.04,59.3,1389.48,180.41,26.94,153.47,586.32,144.34,441.97,229.64,2.82,14.55,212.26,75.48,3.93,68.54,3.01,434.57,397.12,37.45,153.53,960.86,45.69,915.17,169.33,0.55,346.02
2013/11,6286.48,1109.53,215.05,580.56,266.95,46.95,0.01,10.05,207.65,191.57,16.08,443.26,322.84,28.48,37.68,54.26,1399.37,222.11,23.92,198.18,550.06,136.97,413.1,246.21,5.3,12.1,228.81,85.45,3.61,79.09,2.76,443.86,406.64,37.22,149.39,927.06,46.05,881.01,152.47,0.79,339.22
2013/12,6536.47,1208.46,225.13,657.65,278.1,47.56,0.02,10.97,198.73,183.39,15.34,437.13,308.4,29.88,40.73,58.12,1401.34,190.73,25.01,165.72,584.89,146.87,438.02,242.79,4.79,11.93,226.07,91.6,3.31,85.82,2.47,431.76,385.9,45.86,150.56,1077.43,71.74,1005.69,163.7,0.71,345.66
2014/01,6187.07,1150.84,165.37,633.41,309.54,42.49,0.02,10.54,280.67,253.55,27.12,331.27,215.22,19.05,41.47,55.53,1324.68,162.2,21.42,140.79,616.72,150.44,466.28,210.08,4.64,10.66,194.78,87.59,2.9,82.36,2.33,352.6,307.15,45.45,160.99,971.76,86.26,885.5,186.87,0.77,339.48
2014/02,5622.45,986.97,156.19,544.42,241.11,41.87,3.38,91.3,166.24,152.14,14.09,310.11,199.95,18.1,40.51,51.55,1199.91,162.02,25.48,136.54,585.85,145.02,440.83,186.51,17.73,12.09,156.69,87.26,4.93,76.97,5.36,311.05,271.56,39.5,199.05,837.08,55.41,781.67,176.68,24.03,298.41
2014/03,6121.52,1099.14,177.47,595.82,279.88,45.95,0.03,10.45,199.43,182.67,16.77,381.03,252.11,25.65,47.79,55.47,1326.37,199.31,30.61,168.7,593.48,144.76,448.73,201.32,2.47,14.36,184.49,91.3,3.32,85.81,2.17,400.09,324.0,76.09,165.37,956.38,41.66,914.72,160.14,1.07,336.64
2014/04,5992.63,1043.28,160.81,551.47,282.75,47.41,0.83,40.85,202.78,184.11,18.66,373.74,243.73,25.45,48.43,56.13,1285.9,160.0,24.52,135.48,583.38,146.07,437.3,226.0,13.57,15.92,196.51,75.18,3.63,65.8,5.75,370.28,327.25,43.03,144.09,929.8,40.4,889.4,165.52,10.96,380.88
2014/05,6391.35,1176.6,174.07,630.36,320.29,51.85,0.02,10.73,230.06,209.51,20.55,406.05,269.05,28.93,49.32,58.75,1340.73,199.01,25.89,173.12,578.49,141.27,437.22,224.19,2.15,17.62,204.42,59.86,2.98,54.66,2.22,392.93,350.68,42.25,150.86,1064.67,47.26,1017.41,158.86,0.78,397.55
2014/06,6088.43,1174.71,153.16,627.44,340.61,53.49,0.01,20.49,207.77,188.15,19.62,345.65,217.31,28.48,47.43,52.43,1257.3,224.75,24.92,199.83,550.48,133.6,416.88,214.97,2.68,17.03,195.27,49.19,2.32,44.86,2.01,338.82,304.81,34.02,146.94,1007.02,47.08,959.94,158.55,0.74,391.04
2014/07,6327.1,1152.04,135.64,631.8,330.45,54.13,0.02,25.68,206.85,187.65,19.2,327.04,194.53,25.71,49.93,56.86,1291.85,254.31,28.89,225.42,636.96,157.1,479.86,231.71,2.88,16.9,211.94,65.84,3.05,60.53,2.26,327.69,284.0,43.69,162.5,1054.84,52.45,1002.39,181.27,0.94,407.59
2014/08,6531.71,1185.02,121.1,653.41,354.33,56.11,0.07,27.79,261.21,239.03,22.18,285.31,157.45,21.66,52.29,53.92,1352.54,205.77,31.67,174.09,633.88,149.94,483.93,227.8,2.42,16.21,209.17,58.39,3.08,52.87,2.44,310.02,268.56,41.46,221.41,1193.81,79.88,1113.92,156.97,0.73,411.07
2014/09,6252.03,1246.38,159.04,682.67,344.8,59.81,0.04,26.06,296.57,268.07,28.5,346.67,224.52,25.55,45.23,51.37,1277.79,181.81,28.6,153.22,560.7,135.18,425.52,212.31,2.4,15.86,194.05,63.53,3.13,58.17,2.24,348.24,304.02,44.22,165.36,974.44,46.27,928.17,152.04,0.87,399.24
2014/10,6769.9,1191.85,180.56,609.6,320.7,61.4,19.58,48.61,240.17,219.49,20.68,441.89,296.52,33.29,48.26,63.81,1309.08,218.17,35.53,182.64,649.82,154.43,495.39,246.27,13.68,17.41,215.19,63.59,4.51,51.65,7.42,422.78,383.79,38.98,159.31,1127.33,53.69,1073.64,179.02,13.89,458.12
2014/11,6300.98,1089.94,184.18,564.33,288.6,52.74,0.07,22.87,230.19,212.04,18.15,427.7,303.79,26.98,40.93,56.0,1276.28,240.58,28.95,211.63,583.6,138.56,445.04,233.57,4.17,12.09,217.31,52.44,2.91,46.64,2.89,404.36,365.81,38.55,153.43,1023.8,47.8,976.0,150.61,0.83,410.78
2014/12,6714.87,1243.36,231.66,645.64,301.92,60.57,3.56,131.7,212.57,195.85,16.72,431.68,301.02,30.25,41.84,58.57,1203.3,189.01,27.29,161.72,611.03,149.27,461.76,289.51,39.93,11.32,238.26,76.66,6.3,62.82,7.55,397.1,345.48,51.63,161.39,1122.95,64.34,1058.61,191.08,26.8,426.73
2015/01,6080.14,1065.89,145.36,564.81,305.82,49.82,0.08,34.98,221.91,204.3,17.61,317.65,198.37,20.5,45.7,53.09,1080.81,164.68,27.4,137.28,680.52,156.28,524.24,213.68,8.0,13.67,192.01,83.77,2.94,78.28,2.54,337.62,291.54,46.08,168.87,1117.64,89.33,1028.31,189.65,0.88,401.58
2015/02,5727.49,1183.78,145.89,658.79,325.67,53.36,0.06,23.64,300.8,272.31,28.49,300.14,186.6,18.63,42.4,52.5,985.51,162.16,28.07,134.09,575.11,134.97,440.15,190.88,15.41,10.85,164.62,50.08,2.44,45.43,2.21,287.55,250.03,37.52,194.37,951.89,61.37,890.52,149.84,0.74,370.99
2015/03,6277.41,1127.66,166.58,595.98,303.73,61.28,0.09,20.54,213.3,194.24,19.06,395.88,254.31,27.44,54.48,59.65,1168.59,206.7,35.51,171.19,640.53,150.98,489.55,241.34,15.96,19.33,206.05,78.5,3.26,72.93,2.31,394.84,316.8,78.04,174.09,1038.36,42.16,996.2,172.57,1.08,403.41
2015/04,6026.59,1118.45,159.3,566.26,324.77,67.96,0.16,24.77,225.51,207.18,18.33,381.11,244.46,26.12,54.04,56.49,1068.23,166.13,29.0,137.13,646.56,152.63,493.93,230.17,11.63,18.55,199.98,61.13,3.38,55.32,2.43,364.8,322.01,42.78,150.59,1034.53,43.76,990.76,164.21,1.08,389.33
2015/05,6757.48,1293.72,169.23,668.29,377.33,78.7,0.17,23.75,267.48,245.96,21.52,442.48,286.12,31.42,61.9,63.05,1163.78,191.0,30.55,160.45,652.07,148.93,503.15,272.04,27.12,20.48,224.44,56.31,3.26,50.51,2.54,416.94,373.73,43.21,156.19,1226.51,55.36,1171.15,176.77,0.91,417.51
2015/06,5997.0,1221.98,138.08,617.84,385.75,80.14,0.17,24.12,225.99,205.61,20.38,336.35,198.37,27.39,50.95,59.64,1054.23,195.75,30.62,165.13,588.87,121.12,467.75,262.5,29.78,19.57,213.14,52.63,2.67,47.97,1.99,321.82,284.22,37.6,155.62,1001.32,37.08,964.24,174.8,0.85,380.19
2015/07,6566.82,1265.72,140.72,658.23,381.21,85.32,0.25,38.55,230.65,211.63,19.02,338.23,196.14,27.19,54.88,60.02,1115.59,257.73,33.25,224.47,677.74,147.79,529.95,305.79,46.13,21.96,237.7,102.05,2.67,96.94,2.44,335.6,288.41,47.18,166.61,1138.18,51.98,1086.2,200.86,1.05,392.47
2015/08,6771.77,1337.08,126.94,704.12,413.53,92.07,0.43,32.92,263.26,244.3,18.96,294.19,158.95,23.31,57.57,54.35,1166.37,231.41,35.24,196.17,671.93,150.71,521.22,270.63,29.73,17.69,223.22,86.61,2.73,80.99,2.89,320.93,276.84,44.09,237.85,1297.11,79.28,1217.83,173.95,0.97,386.55
2015/09,6510.36,1378.87,143.35,736.66,407.52,91.06,0.28,28.27,354.9,318.73,36.17,351.24,219.29,26.54,47.3,58.1,1089.47,173.64,33.73,139.91,645.06,144.01,501.05,289.99,53.32,18.09,218.57,71.7,2.9,66.39,2.41,347.36,298.51,48.85,166.24,1050.33,43.38,1006.96,174.32,0.98,387.98
2015/10,6551.09,1198.31,200.37,581.84,325.41,90.36,0.33,29.48,238.25,216.88,21.37,413.31,274.19,30.2,49.81,59.12,1107.35,196.28,39.09,157.18,696.02,153.12,542.9,311.92,62.15,19.44,230.32,91.45,3.74,83.95,3.76,410.55,370.43,40.13,169.38,1113.78,53.81,1059.97,187.34,0.7,386.97
2015/11,6439.51,1222.58,198.3,611.72,326.29,85.96,0.31,24.28,239.76,220.19,19.57,425.01,296.56,28.5,46.06,53.89,1090.57,224.5,34.33,190.17,640.96,141.99,498.97,277.28,40.17,16.67,220.44,75.14,2.86,69.23,3.05,396.47,358.99,37.48,157.12,1111.43,48.47,1062.97,177.54,0.68,376.19
2015/12,6739.73,1237.8,193.85,626.62,329.9,87.12,0.3,38.71,240.75,221.69,19.06,413.0,275.76,28.16,48.12,60.95,1120.98,189.01,32.96,156.06,729.19,158.56,570.63,280.61,18.54,17.49,244.58,106.78,3.14,100.81,2.83,385.06,333.45,51.61,173.66,1224.19,65.71,1158.48,199.71,1.02,399.28
2016/01,6315.98,1186.31,141.62,610.22,353.1,81.15,0.23,41.38,250.51,227.95,22.56,315.97,191.74,20.76,48.26,55.2,1036.96,154.53,29.66,124.88,740.92,158.39,582.53,251.37,17.98,13.12,220.27,93.37,2.97,87.38,3.02,319.05,272.91,46.14,179.04,1161.12,87.85,1073.27,214.93,1.04,369.47
2016/02,6151.27,1291.28,160.55,688.24,360.94,81.22,0.34,32.75,298.9,267.66,31.23,301.46,182.05,20.3,48.0,51.11,976.89,173.09,33.75,139.34,674.25,149.08,525.17,252.23,43.57,14.91,193.75,74.03,2.83,68.91,2.3,295.37,254.33,41.04,220.32,1033.39,60.64,972.75,179.64,0.91,346.77
2016/03,6529.53,1197.38,153.51,609.63,344.53,89.4,0.31,36.93,234.03,212.64,21.39,379.41,235.28,26.36,57.28,60.48,1056.5,198.05,37.81,160.24,744.92,169.36,575.57,320.95,64.31,21.78,234.86,87.85,2.95,82.5,2.4,387.17,306.06,81.11,189.12,1093.39,42.17,1051.23,208.18,1.33,394.31
2016/04,6344.12,1198.24,160.74,592.06,354.49,90.61,0.34,29.18,247.52,225.86,21.66,384.93,241.63,26.56,58.42,58.32,1017.8,171.67,33.8,137.87,705.64,156.32,549.32,266.41,26.72,20.98,218.71,73.22,3.15,67.55,2.52,374.74,329.76,44.98,162.1,1116.57,42.41,1074.16,196.74,1.32,398.05
2016/05,6947.78,1376.01,181.36,686.59,404.02,103.64,0.4,32.36,271.89,246.49,25.4,428.88,272.11,32.75,62.42,61.61,1104.9,212.02,40.91,171.11,696.79,155.94,540.85,273.89,19.22,20.26,234.41,77.3,2.65,71.82,2.83,415.55,373.09,42.46,162.09,1290.3,49.47,1240.83,208.36,1.18,396.28
2016/06,6571.36,1262.86,135.18,627.44,396.21,103.74,0.29,32.56,243.47,221.53,21.94,373.14,231.25,30.16,54.03,57.69,1103.95,209.89,39.81,170.08,701.11,159.54,541.58,267.71,14.94,21.46,231.31,91.88,3.01,86.12,2.74,347.32,307.76,39.56,168.64,1176.5,46.23,1130.27,203.75,1.11,387.47
2016/07,6889.02,1306.22,139.55,649.48,411.71,105.16,0.32,40.26,233.15,214.91,18.24,341.42,197.71,29.4,55.2,59.12,1129.05,305.45,39.87,265.57,757.47,167.47,590.0,304.57,22.0,24.27,258.3,111.03,2.98,105.53,2.52,334.04,285.68,48.36,176.79,1233.82,48.59,1185.22,219.1,1.22,395.43
2016/08,7032.09,1415.46,134.92,711.15,448.04,121.03,0.31,32.89,259.71,241.93,17.79,294.51,155.47,24.86,57.98,56.21,1159.97,255.47,39.64,215.82,747.81,168.43,579.38,251.25,0.77,23.28,227.2,90.55,3.28,84.78,2.5,315.71,271.92,43.79,248.39,1381.53,79.03,1302.51,194.26,1.05,383.51
2016/09,6598.89,1400.65,149.73,702.8,434.92,112.95,0.25,27.53,333.02,295.26,37.76,335.89,201.51,26.62,49.29,58.46,1082.53,181.94,39.35,142.59,698.91,151.15,547.76,244.94,1.12,26.87,216.95,74.27,2.92,68.88,2.47,321.17,276.86,44.31,186.01,1128.75,44.99,1083.76,193.26,1.07,388.97
2016/10,6808.63,1339.36,193.81,622.87,408.45,113.95,0.29,26.34,275.53,252.65,22.88,392.96,253.23,28.24,52.29,59.2,1114.81,184.12,39.89,144.23,741.67,155.42,586.25,249.03,0.59,26.41,222.04,82.46,3.24,76.27,2.95,401.91,361.29,40.62,171.98,1222.41,51.29,1171.12,202.93,1.24,401.88
2016/11,6726.35,1246.51,184.41,578.45,376.11,107.18,0.35,24.75,257.61,239.63,17.98,423.95,288.68,26.77,48.29,60.22,1177.6,201.41,35.41,166.0,743.86,159.2,584.65,258.41,0.53,21.25,236.63,77.12,3.27,70.58,3.28,401.12,362.61,38.51,174.11,1159.18,46.82,1112.36,189.9,1.17,389.66
2016/12,6995.11,1274.08,182.56,608.18,377.64,105.37,0.32,37.55,255.87,238.99,16.88,396.82,256.8,26.61,51.0,62.41,1209.67,172.5,36.96,135.53,820.82,172.87,647.95,281.34,0.57,21.5,259.26,109.92,2.95,104.22,2.75,371.15,318.77,52.38,176.57,1266.6,57.81,1208.79,208.93,1.32,411.99
2017/01,7012.75,1431.39,162.39,722.76,441.3,104.59,0.36,47.63,353.75,325.36,28.39,333.62,203.82,21.52,50.46,57.81,1192.36,161.05,33.39,127.66,758.79,163.24,595.54,232.43,0.61,19.59,212.23,148.19,2.85,142.85,2.5,322.49,276.39,46.1,168.18,1256.51,88.12,1168.39,214.64,1.24,390.48
2017/02,6155.59,1068.68,137.06,508.21,329.11,93.99,0.31,43.28,201.36,185.97,15.4,298.31,167.45,19.82,53.59,57.46,1096.5,172.96,36.87,136.09,762.91,155.44,607.47,208.34,0.51,19.3,188.53,122.87,2.89,117.66,2.33,290.14,247.02,43.13,235.78,1108.18,62.54,1045.63,198.81,0.99,346.47
2017/03,6978.12,1276.08,152.63,615.0,399.13,108.94,0.38,42.94,251.64,233.27,18.37,380.05,224.49,26.28,61.95,67.32,1263.66,190.46,36.46,154.0,804.35,166.31,638.04,248.91,0.7,25.64,222.57,115.51,3.26,110.01,2.24,379.58,298.77,80.8,196.44,1193.86,39.68,1154.18,223.69,1.5,409.48
2017/04,6907.7,1261.86,150.53,595.1,405.72,110.23,0.28,40.23,267.43,248.13,19.3,386.62,231.33,26.69,64.78,63.82,1203.38,194.76,34.02,160.74,803.87,162.19,641.68,253.5,0.78,26.7,226.01,117.38,3.51,111.68,2.19,371.5,326.3,45.21,167.0,1218.18,43.75,1174.43,218.02,1.34,402.62
2017/05,7513.3,1458.79,175.26,699.24,453.85,130.15,0.3,45.73,300.08,278.29,21.79,411.47,247.82,30.53,68.41,64.71,1232.69,242.24,37.29,204.95,806.97,166.06,640.91,257.51,0.96,29.76,226.79,122.12,3.65,116.33,2.14,414.33,371.96,42.37,171.19,1411.48,55.92,1355.56,224.5,1.15,413.06
2017/06,6903.55,1326.33,129.78,625.24,443.61,127.39,0.3,41.87,257.55,239.92,17.63,347.92,197.45,28.67,60.75,61.05,1143.25,217.44,34.7,182.74,804.29,169.21,635.08,258.08,0.62,27.68,229.78,129.19,3.0,124.18,2.01,343.49,303.58,39.92,177.8,1227.06,42.57,1184.48,216.38,1.48,411.42
