제주_합계,제주_종합소매,제주_ 백화점,제주_ 대형마트/유통전문점,제주_ 슈퍼마켓,제주_ 편의점,제주_ 면세점,제주_전자상거래/통신판매,제주_식료품,제주_ 일반식료품,제주_ 건강보조식품,제주_의류/잡화,제주_ 의복/직물,제주_ 복식잡화,제주_ 시계/귀금속/안경,제주_ 화장품,제주_연료,제주_가구/가전,제주_ 가구,제주_ 가전제품/정보통신기기,제주_의료/보건,제주_ 종합병원,제주_ 일반병의원/기타의료기관,제주_자동차,제주_ 국산자동차신품,제주_ 기타운송수단,제주_ 자동차 부품 및 정비,제주_여행/교통,제주_ 여행사/자동차임대,제주_ 항공사,제주_ 대중교통,제주_오락/문화,제주_ 스포츠/오락/여가,제주_ 서적/문구,제주_교육,제주_숙박/음식,제주_ 숙박,제주_ 음식점,제주_공과금/개인 및 전문 서비스,제주_금융/보험,제주_기타
4940.5,1133.06,0.0,454.07,258.73,136.57,283.69,200.11,153.99,148.79,5.19,159.42,88.51,21.34,20.96,28.61,341.52,149.48,22.86,126.62,278.66,58.29,220.37,90.67,0.25,6.49,83.94,503.73,75.0,419.55,9.19,230.51,206.73,23.78,81.62,1227.94,235.51,992.43,111.75,1.49,276.55
5106.44,1252.78,0.0,457.24,275.85,150.59,369.11,120.14,170.59,165.65,4.95,131.64,62.18,19.88,21.57,28.01,360.91,99.07,19.84,79.23,283.18,61.0,222.18,91.94,0.36,5.92,85.66,438.04,94.94,331.39,11.72,243.79,219.58,24.21,102.12,1421.19,330.39,1090.79,113.56,1.22,276.24
4602.01,1130.51,0.0,428.79,257.84,134.55,309.33,92.27,216.62,207.06,9.56,164.98,96.76,20.18,19.08,28.95,334.36,91.29,25.43,65.86,278.69,57.9,220.79,93.0,0.27,6.86,85.87,348.28,58.01,280.63,9.63,234.88,210.57,24.31,86.78,1127.99,207.18,920.81,108.76,1.29,292.3
4657.19,1139.22,0.0,435.46,259.87,131.31,312.58,114.85,194.95,187.37,7.57,175.24,110.48,20.73,18.09,25.94,330.56,92.52,22.89,69.63,254.9,49.69,205.21,75.8,0.25,4.47,71.09,361.62,65.49,286.25,9.88,272.21,252.93,19.28,78.19,1192.99,232.28,960.71,103.28,0.91,269.96
4442.0,1006.28,0.0,370.99,220.96,113.09,301.23,105.25,187.12,179.26,7.85,193.37,128.24,19.84,17.45,27.84,350.15,91.82,22.73,69.09,281.88,55.56,226.32,91.35,0.3,4.92,86.12,381.56,41.15,333.19,7.22,267.8,247.8,20.0,80.86,1015.51,173.87,841.64,102.84,0.93,285.29
4526.71,994.6,0.0,392.61,227.9,108.33,265.76,111.11,175.02,169.24,5.79,184.98,117.59,20.32,18.6,28.46,389.16,102.04,25.38,76.67,279.14,57.89,221.25,95.6,0.2,5.27,90.13,403.94,44.07,354.58,5.29,238.43,211.92,26.51,81.44,1069.78,189.52,880.25,106.48,1.26,293.73
4629.04,1031.5,0.0,390.99,238.24,119.31,282.96,182.49,162.75,157.38,5.36,143.85,86.13,17.01,16.67,24.03,369.64,113.7,28.52,85.19,297.75,58.97,238.78,76.93,0.22,4.43,72.28,537.06,42.18,488.75,6.13,187.81,165.51,22.31,84.69,1078.65,197.11,881.54,101.27,1.34,259.6
3925.52,961.0,0.0,395.89,230.95,101.65,232.52,109.41,169.76,161.96,7.8,132.76,78.42,15.09,15.97,23.28,328.37,90.99,23.61,67.38,253.48,50.82,202.66,69.44,0.1,3.36,65.97,354.21,32.69,316.13,5.38,165.53,145.55,19.98,97.22,868.3,151.97,716.33,90.32,1.27,233.47
4487.27,1000.65,0.0,383.08,231.69,116.45,269.43,117.76,176.88,168.46,8.43,166.95,100.21,18.75,20.67,27.32,358.37,106.54,28.09,78.45,292.03,56.4,235.63,92.33,0.28,6.75,85.31,415.45,39.27,369.38,6.8,240.81,205.28,35.54,99.7,1024.68,166.82,857.85,109.3,1.54,284.29
4657.86,1067.0,0.0,397.26,244.35,126.1,299.29,102.84,201.19,190.76,10.43,170.47,102.69,20.82,21.0,25.96,339.11,103.27,25.79,77.48,288.82,55.49,233.33,87.31,0.13,7.4,79.78,413.96,45.64,358.97,9.35,261.44,238.69,22.75,84.62,1136.54,193.92,942.62,111.69,1.11,288.51
5022.37,1171.64,0.0,428.08,260.2,137.92,345.44,116.44,188.43,179.63,8.8,189.55,116.62,21.65,22.06,29.22,351.05,117.43,26.04,91.38,298.26,58.42,239.84,94.51,0.27,10.12,84.12,439.36,50.79,379.67,8.9,296.33,272.42,23.92,88.61,1255.65,240.58,1015.08,117.32,1.24,296.55
4757.36,1121.31,0.0,411.2,261.91,144.98,303.23,106.62,180.04,173.26,6.78,160.24,91.76,20.83,19.68,27.97,344.55,115.81,23.55,92.26,285.41,56.07,229.34,94.36,0.28,7.63,86.45,400.41,47.88,343.47,9.06,256.86,236.78,20.07,90.58,1202.66,225.7,976.96,111.03,1.43,286.06
4968.14,1155.69,0.0,459.82,273.29,154.48,268.1,149.12,154.11,148.88,5.23,156.76,87.82,20.69,21.15,27.1,362.92,131.43,24.61,106.82,304.68,58.93,245.75,96.63,0.17,6.49,89.97,490.39,60.36,421.51,8.52,230.64,207.37,23.27,89.89,1250.23,238.27,1011.96,116.06,1.44,278.16
5159.37,1255.67,0.0,473.47,296.28,170.37,315.55,112.97,167.98,162.92,5.06,132.21,62.94,20.46,21.46,27.35,385.27,102.9,25.06,77.84,290.74,60.14,230.6,96.16,0.26,6.56,89.34,406.12,72.37,323.13,10.62,239.11,215.47,23.64,111.06,1459.98,334.38,1125.6,118.32,1.34,279.55
4675.11,1194.67,0.02,473.36,288.44,143.15,289.7,93.21,220.45,210.1,10.35,165.41,99.07,20.0,18.81,27.53,347.68,88.63,25.15,63.47,278.41,52.58,225.83,88.02,0.14,5.28,82.6,311.08,42.05,259.63,9.4,244.56,221.37,23.19,91.97,1148.05,199.79,948.26,115.64,1.28,286.06
4819.14,1086.24,0.0,398.29,257.85,144.73,285.37,140.36,187.17,179.86,7.31,188.9,123.3,20.89,18.7,26.01,365.92,98.87,28.73,70.15,299.91,54.52,245.39,93.56,0.16,5.3,88.1,420.34,40.62,371.39,8.32,282.84,263.11,19.74,90.68,1152.79,207.79,944.99,116.96,1.33,293.26
4614.15,1029.9,0.0,376.04,237.55,129.34,286.97,128.15,193.08,184.86,8.22,185.27,122.46,19.23,16.92,26.66,350.23,90.33,25.09,65.24,304.05,57.63,246.42,96.11,0.21,5.09,90.81,405.63,35.64,363.2,6.79,274.48,255.01,19.47,89.12,1065.69,176.96,888.74,115.18,1.18,285.76
4793.11,1016.99,0.0,401.07,245.98,129.31,240.62,182.36,174.02,167.71,6.3,180.97,117.68,20.0,17.69,25.6,361.18,96.1,25.88,70.22,309.72,58.77,250.95,99.34,0.47,5.94,92.94,509.54,38.66,465.43,5.46,246.85,220.11,26.74,88.91,1129.99,185.01,944.99,114.45,1.21,281.48
4878.1,1061.44,0.11,402.52,255.93,129.98,272.9,162.04,198.01,191.02,6.99,159.86,96.51,17.58,18.47,27.3,354.08,112.57,32.52,80.04,326.43,61.69,264.75,91.27,-0.09,5.69,85.66,545.33,38.63,499.7,7.0,213.17,188.35,24.82,96.55,1156.83,202.65,954.19,125.21,1.53,273.78
4182.61,968.31,0.0,378.25,232.33,116.18,241.56,118.15,163.07,156.67,6.41,136.76,79.2,16.5,17.8,23.26,300.1,89.36,26.03,63.33,276.63,47.44,229.19,72.33,0.22,5.06,67.05,390.0,36.33,347.36,6.31,199.82,178.62,21.2,104.08,1024.25,173.23,851.02,105.09,1.29,233.38
4637.46,1023.83,0.0,388.28,248.07,128.86,258.63,114.64,194.87,186.42,8.45,164.65,95.67,19.42,21.36,28.2,330.53,103.73,30.82,72.91,314.29,57.34,256.95,92.29,0.2,7.5,84.59,405.65,39.45,357.86,8.34,266.2,229.42,36.78,105.4,1112.12,175.28,936.84,124.1,1.33,283.83
4707.36,1083.53,0.0,390.31,252.96,139.85,300.41,115.53,200.38,191.19,9.19,164.14,94.71,21.34,21.04,27.05,321.85,98.37,26.36,72.01,300.67,56.35,244.32,86.81,0.16,6.8,79.85,431.55,42.58,379.94,9.02,273.67,250.67,23.0,90.36,1147.26,197.83,949.43,120.73,1.18,271.33
5026.54,1154.68,0.0,425.75,270.17,151.79,306.98,120.31,193.47,183.99,9.48,181.89,106.98,23.27,23.24,28.4,336.74,107.39,28.44,78.96,314.03,58.88,255.15,95.14,0.34,6.84,87.96,431.64,50.58,371.83,9.23,308.44,283.69,24.74,93.61,1261.42,229.21,1032.21,133.2,0.86,293.72
4854.59,1129.9,0.0,418.18,268.79,153.82,289.13,120.21,186.49,180.11,6.38,154.05,84.36,22.76,19.98,26.95,327.12,95.03,27.16,67.87,302.88,57.18,245.7,91.19,0.17,6.4,84.62,427.89,51.48,367.84,8.57,274.13,251.4,22.73,97.42,1239.38,220.94,1018.44,127.52,1.03,280.34
5150.89,1173.94,0.0,450.53,278.9,170.79,273.72,188.05,157.58,152.46,5.12,143.52,76.87,21.95,20.41,24.28,328.04,110.6,26.32,84.28,310.23,62.74,247.49,92.76,0.27,7.21,85.28,572.9,70.65,492.47,9.78,252.13,227.28,24.85,94.89,1320.16,260.32,1059.84,130.82,1.11,274.17
5455.72,1278.92,0.0,486.46,301.3,185.93,305.23,119.93,188.26,182.31,5.95,136.74,65.66,21.81,21.84,27.43,367.7,104.33,27.64,76.69,325.53,64.92,260.61,99.53,0.19,6.43,92.9,425.02,95.15,316.58,13.3,275.81,249.01,26.8,115.62,1588.27,361.17,1227.09,140.28,1.19,288.61
4537.15,1126.96,0.0,462.62,281.75,155.1,227.48,118.67,202.25,191.71,10.54,144.73,82.59,20.72,17.78,23.63,314.22,84.85,25.84,59.01,284.22,54.87,229.36,86.52,0.2,5.55,80.77,335.18,48.76,277.85,8.58,243.99,221.1,22.89,92.8,1118.1,193.18,924.92,120.59,1.15,262.91
5041.02,1174.52,0.0,417.04,276.26,163.67,317.54,117.43,213.02,203.76,9.26,176.22,105.92,23.74,19.66,26.9,347.33,89.05,29.91,59.15,330.57,62.43,268.14,99.29,0.36,6.69,92.25,334.5,60.01,263.17,11.32,311.97,289.96,22.01,96.26,1313.35,234.42,1078.92,137.22,1.13,299.16
4903.04,1098.58,0.0,400.08,253.03,147.87,297.6,120.08,217.17,208.79,8.39,175.14,107.97,22.15,18.62,26.4,345.17,92.17,29.43,62.73,328.5,62.61,265.89,101.15,0.41,6.63,94.12,365.46,51.16,305.32,8.98,307.66,286.87,20.79,98.71,1223.65,204.49,1019.16,130.53,0.85,298.24
5041.73,1110.09,0.0,420.55,261.82,151.19,276.54,151.07,195.24,188.93,6.31,170.82,102.27,23.64,19.11,25.8,371.04,96.85,32.07,64.78,321.95,62.71,259.24,95.41,0.35,5.08,89.97,421.1,57.36,356.17,7.56,283.72,253.37,30.35,95.61,1301.54,222.14,1079.4,130.02,1.26,296.01
5097.4,1172.18,0.0,465.21,288.16,146.73,272.08,182.68,230.0,220.3,9.71,147.55,82.67,20.23,18.38,26.27,375.25,114.1,28.06,86.04,324.11,61.1,263.01,85.14,0.15,4.04,80.95,472.39,53.93,411.42,7.04,233.45,207.73,25.71,100.0,1250.86,224.5,1026.36,135.1,1.17,273.42
3403.59,876.51,0.07,355.33,257.74,124.06,139.31,-12.29,127.61,122.82,4.79,112.64,57.44,14.68,17.43,23.09,313.93,97.07,29.22,67.85,330.22,56.92,273.3,83.34,0.33,4.7,78.31,-19.51,22.73,-46.64,4.4,175.78,154.63,21.15,108.25,849.29,96.54,752.75,112.86,1.42,246.46
3389.92,948.58,0.0,420.24,284.96,136.43,106.95,-22.37,125.24,121.42,3.81,122.77,66.91,16.0,17.6,22.27,302.16,100.39,30.63,69.76,308.91,50.72,258.19,84.98,0.13,6.58,78.26,-49.47,20.84,-74.75,4.44,188.17,162.66,25.51,83.71,826.43,78.44,747.99,109.73,1.52,259.19
3527.03,936.64,0.0,409.81,271.45,129.69,125.69,4.53,127.06,122.65,4.41,131.77,74.24,17.56,16.98,22.99,274.32,94.8,27.54,67.26,330.81,55.05,275.76,88.92,0.22,7.66,81.04,20.51,23.45,-7.78,4.84,215.75,192.68,23.07,89.84,843.95,82.34,761.61,112.41,1.49,254.21
4440.64,1127.62,0.46,452.81,292.06,154.96,227.32,46.71,173.1,166.51,6.58,180.24,106.92,24.43,22.93,25.97,264.05,109.94,32.92,77.02,341.2,55.13,286.07,96.73,0.24,10.75,85.75,96.68,37.42,51.84,7.42,306.24,278.67,27.57,100.32,1178.78,158.37,1020.41,133.24,3.36,282.43
4363.34,1116.84,0.31,421.04,266.82,165.46,263.22,58.41,162.17,157.29,4.88,155.03,89.59,22.74,18.46,24.24,257.69,115.34,30.22,85.12,333.02,58.35,274.67,92.23,0.43,7.51,84.29,130.41,39.43,84.02,6.96,273.96,251.34,22.62,92.23,1170.92,189.22,981.7,128.66,3.24,273.18
4695.12,1173.52,0.0,439.1,283.3,176.89,274.23,53.56,182.25,176.74,5.51,141.59,74.06,23.29,18.52,25.73,282.17,113.05,31.07,81.98,353.23,62.88,290.35,101.64,0.22,8.78,92.65,182.81,59.12,115.99,7.7,273.18,250.07,23.12,96.68,1342.96,257.57,1085.39,131.55,1.54,265.38
5328.99,1388.2,0.0,514.39,336.33,215.31,322.17,21.57,203.11,197.4,5.71,135.73,65.92,26.39,18.81,24.62,318.34,131.65,30.97,100.68,333.53,60.52,273.01,100.6,0.18,9.7,90.72,155.94,99.31,45.41,11.22,303.98,278.36,25.62,102.7,1723.19,392.65,1330.54,141.44,0.99,268.03
4400.91,1248.29,0.0,507.85,337.24,171.27,231.93,10.12,231.51,222.85,8.66,151.84,87.19,22.69,17.03,24.92,280.55,100.72,30.63,70.09,338.71,59.64,279.07,108.59,0.25,10.19,98.15,56.76,40.01,9.78,6.97,249.23,223.52,25.71,111.09,1107.51,184.92,922.59,128.05,1.51,276.43
4948.16,1270.19,0.0,438.88,305.56,182.93,342.81,39.35,213.91,207.76,6.15,180.58,111.47,27.39,17.14,24.57,291.67,102.97,29.36,73.61,322.11,56.42,265.69,96.54,0.29,8.78,87.47,168.53,63.69,94.2,10.63,345.14,322.86,22.27,100.98,1420.18,271.02,1149.16,131.22,1.37,263.44
5036.41,1294.1,0.0,442.0,290.31,176.84,384.94,36.27,240.4,233.28,7.12,180.86,112.47,26.47,17.07,24.85,298.53,103.28,32.88,70.39,333.37,56.84,276.53,96.42,0.36,8.25,87.81,166.97,71.85,85.0,10.11,327.01,305.13,21.89,100.32,1439.13,258.74,1180.4,133.89,1.0,284.86
4039.09,1185.61,0.0,459.0,311.61,154.21,260.79,6.63,187.71,182.3,5.41,142.04,81.61,21.89,15.87,22.68,308.02,102.03,29.46,72.57,329.13,57.4,271.73,109.67,0.23,7.31,102.12,30.82,31.2,-5.31,4.93,236.7,211.77,24.93,92.08,957.71,170.18,787.53,114.52,1.61,234.81
3617.47,1060.87,0.0,447.81,315.25,142.16,155.65,20.49,164.86,160.59,4.27,119.79,64.61,18.76,15.88,20.54,299.81,117.48,30.73,86.75,330.87,56.87,274.0,96.89,0.3,6.87,89.72,61.01,23.63,33.65,3.74,177.22,152.17,25.05,98.88,783.24,114.03,669.22,106.36,1.42,178.27
4079.14,1125.57,0.0,437.66,280.16,144.4,263.36,34.35,198.69,192.18,6.51,124.4,66.92,20.81,16.5,20.18,306.51,97.6,27.45,70.16,307.32,52.09,255.23,82.33,0.48,8.38,73.47,127.31,39.43,82.49,5.38,239.1,217.52,21.58,106.83,1016.08,193.35,822.74,118.36,1.19,193.48
4955.75,1265.05,0.0,442.95,288.52,169.05,364.53,55.7,197.38,192.49,4.88,163.38,92.31,27.65,20.22,23.21,350.04,149.57,27.94,121.63,343.79,63.27,280.53,101.27,0.69,12.24,88.34,215.0,52.98,153.96,8.06,319.24,287.5,31.74,113.36,1274.72,242.8,1031.91,141.79,1.81,263.64
5243.6,1338.35,0.0,452.31,295.3,175.22,415.52,44.38,235.99,230.58,5.41,168.28,93.87,30.78,19.53,24.1,354.18,93.65,26.79,66.86,344.07,62.09,281.98,103.38,0.69,10.58,92.1,219.9,86.71,122.81,10.38,336.72,313.3,23.42,101.08,1454.99,297.48,1157.51,147.29,1.63,299.72
5493.4,1414.28,0.0,500.41,320.97,195.43,397.46,34.68,240.78,233.77,7.01,176.11,99.47,32.56,19.44,24.65,345.67,119.41,26.56,92.85,333.91,58.83,275.07,99.52,0.42,11.77,87.33,201.34,92.95,97.14,11.25,375.53,350.81,24.73,100.07,1607.11,351.15,1255.96,154.09,1.02,289.89
5282.94,1345.31,0.0,474.78,309.78,206.66,354.09,51.72,224.69,219.21,5.48,161.29,86.36,30.31,19.12,25.49,341.29,107.46,24.32,83.14,348.18,60.99,287.19,110.09,0.22,13.05,96.82,237.56,81.37,145.48,10.71,348.91,328.65,20.26,105.97,1481.76,347.43,1134.33,149.14,1.39,268.17
5225.16,1304.15,0.0,516.4,323.63,210.45,253.67,24.43,212.19,207.18,5.0,149.28,75.54,28.35,20.04,25.34,363.54,115.64,23.81,91.83,357.94,65.82,292.12,113.45,0.38,10.63,102.44,153.56,77.13,66.94,9.5,328.47,304.1,24.37,105.39,1577.47,388.51,1188.96,151.1,1.4,267.16
5058.49,1371.91,0.0,522.24,331.14,223.4,295.13,23.2,197.54,192.73,4.81,128.68,58.92,27.55,20.4,21.82,359.2,109.32,23.73,85.59,333.86,62.21,271.65,100.76,0.27,10.7,89.78,130.37,66.54,53.48,10.35,307.35,284.89,22.46,100.8,1528.96,406.11,1122.85,144.62,1.23,220.71
4706.84,1302.41,0.0,499.92,315.22,192.52,294.74,35.77,241.22,233.03,8.18,147.87,79.26,25.76,18.79,24.06,324.76,92.14,24.21,67.93,311.38,59.2,252.18,98.55,-0.01,9.71,88.85,149.1,49.94,89.28,9.88,303.67,280.54,23.13,98.18,1243.43,281.06,962.37,132.49,1.21,224.66
5759.68,1414.47,0.0,488.67,309.64,208.54,407.63,46.21,263.38,257.54,5.84,202.47,121.48,33.69,21.2,26.09,392.58,98.35,28.56,69.8,365.96,65.6,300.35,119.02,0.44,13.79,104.8,227.68,83.1,131.1,13.48,402.39,381.12,21.27,101.53,1669.58,360.85,1308.72,160.7,1.59,293.77
5707.01,1451.17,0.0,482.76,296.02,199.85,472.55,-0.28,287.97,280.09,7.88,203.45,127.89,31.69,18.98,24.89,394.73,94.47,24.27,70.2,345.28,62.96,282.32,111.55,0.18,10.63,100.73,210.86,75.68,123.22,11.97,385.74,365.63,20.11,96.61,1662.45,362.38,1300.08,154.51,1.18,307.33
5226.78,1361.67,0.0,483.25,305.13,187.11,386.17,0.8,269.25,262.68,6.57,184.95,109.65,29.35,19.38,26.56,400.77,93.77,26.29,67.49,351.03,64.23,286.8,116.08,0.15,8.28,107.66,132.91,59.38,66.2,7.33,322.2,293.58,28.62,100.1,1455.83,324.18,1131.65,149.88,1.77,285.75
5598.67,1473.41,0.85,554.31,342.15,198.38,377.73,26.3,312.02,303.79,8.23,176.14,102.18,29.65,18.94,25.38,437.2,119.99,29.33,90.66,372.39,69.16,303.23,105.13,0.67,10.04,94.42,179.6,64.84,105.1,9.67,319.25,291.58,27.67,109.78,1504.71,318.98,1185.73,158.35,7.38,297.02
4637.86,1198.92,0.0,418.11,267.68,174.36,338.78,1.37,204.96,200.01,4.95,133.06,74.14,22.87,16.69,19.36,382.63,101.74,25.03,76.71,322.53,54.44,268.09,81.46,0.07,7.66,73.73,140.76,53.95,78.39,8.42,282.7,261.29,21.41,97.39,1327.84,315.53,1012.31,129.84,1.26,231.4
5015.3,1328.12,0.0,471.54,300.97,190.49,365.12,2.91,229.74,223.84,5.9,162.52,94.94,23.85,19.14,24.58,418.31,105.06,28.04,77.02,369.71,59.14,310.57,101.1,0.32,11.42,89.36,141.44,49.9,83.28,8.26,338.51,308.63,29.87,108.19,1288.22,252.55,1035.67,142.37,1.98,277.14
5790.65,1444.55,0.0,485.93,313.85,202.06,442.71,2.64,287.85,280.03,7.82,190.69,115.41,28.84,21.27,25.17,435.99,100.4,27.69,72.71,373.25,63.7,309.55,109.3,0.1,13.87,95.32,206.15,71.79,122.74,11.62,402.63,379.05,23.59,109.0,1634.9,324.93,1309.97,159.86,1.66,331.79
